,Zip Code,HOUSING OCCUPANCY Total housing units,HOUSING OCCUPANCY Total housing units Occupied housing units,HOUSING OCCUPANCY Total housing units Vacant housing units,HOUSING OCCUPANCY Total housing units Homeowner vacancy rate,HOUSING OCCUPANCY Total housing units Rental vacancy rate,UNITS IN STRUCTURE Total housing units,"UNITS IN STRUCTURE Total housing units 1-unit, detached","UNITS IN STRUCTURE Total housing units 1-unit, attached",UNITS IN STRUCTURE Total housing units 2 units,UNITS IN STRUCTURE Total housing units 3 or 4 units,UNITS IN STRUCTURE Total housing units 5 to 9 units,UNITS IN STRUCTURE Total housing units 10 to 19 units,UNITS IN STRUCTURE Total housing units 20 or more units,UNITS IN STRUCTURE Total housing units Mobile home,"UNITS IN STRUCTURE Total housing units Boat, RV, van, etc.",YEAR STRUCTURE BUILT Total housing units,YEAR STRUCTURE BUILT Total housing units Built 2014 or later,YEAR STRUCTURE BUILT Total housing units Built 2010 to 2013,YEAR STRUCTURE BUILT Total housing units Built 2000 to 2009,YEAR STRUCTURE BUILT Total housing units Built 1990 to 1999,YEAR STRUCTURE BUILT Total housing units Built 1980 to 1989,YEAR STRUCTURE BUILT Total housing units Built 1970 to 1979,YEAR STRUCTURE BUILT Total housing units Built 1960 to 1969,YEAR STRUCTURE BUILT Total housing units Built 1950 to 1959,YEAR STRUCTURE BUILT Total housing units Built 1940 to 1949,YEAR STRUCTURE BUILT Total housing units Built 1939 or earlier,ROOMS,ROOMS Total housing units,ROOMS Total housing units 1 room,ROOMS Total housing units 2 rooms,ROOMS Total housing units 3 rooms,ROOMS Total housing units 4 rooms,ROOMS Total housing units 5 rooms,ROOMS Total housing units 6 rooms,ROOMS Total housing units 7 rooms,ROOMS Total housing units 8 rooms,ROOMS Total housing units 9 rooms or more,ROOMS Total housing units Median rooms,BEDROOMS Total housing units,BEDROOMS Total housing units No bedroom,BEDROOMS Total housing units 1 bedroom,BEDROOMS Total housing units 2 bedrooms,BEDROOMS Total housing units 3 bedrooms,BEDROOMS Total housing units 4 bedrooms,BEDROOMS Total housing units 5 or more bedrooms,HOUSING TENURE,HOUSING TENURE Occupied housing units,HOUSING TENURE Occupied housing units Owner-occupied,HOUSING TENURE Occupied housing units Renter-occupied,HOUSING TENURE Occupied housing units Average household size of owner-occupied unit,HOUSING TENURE Occupied housing units Average household size of renter-occupied unit,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 2019 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 2015 to 2018,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 2010 to 2014,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 2000 to 2009,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 1990 to 1999,YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units Moved in 1989 and earlier,VEHICLES AVAILABLE Occupied housing units,VEHICLES AVAILABLE Occupied housing units No vehicles available,VEHICLES AVAILABLE Occupied housing units 1 vehicle available,VEHICLES AVAILABLE Occupied housing units 2 vehicles available,VEHICLES AVAILABLE Occupied housing units 3 or more vehicles available,HOUSE HEATING FUEL,HOUSE HEATING FUEL Occupied housing units,HOUSE HEATING FUEL Occupied housing units Utility gas,"HOUSE HEATING FUEL Occupied housing units Bottled, tank, or LP gas",HOUSE HEATING FUEL Occupied housing units Electricity,"HOUSE HEATING FUEL Occupied housing units Fuel oil, kerosene, etc.",HOUSE HEATING FUEL Occupied housing units Coal or coke,HOUSE HEATING FUEL Occupied housing units Wood,HOUSE HEATING FUEL Occupied housing units Solar energy,HOUSE HEATING FUEL Occupied housing units Other fuel,HOUSE HEATING FUEL Occupied housing units No fuel used,SELECTED CHARACTERISTICS,SELECTED CHARACTERISTICS Occupied housing units,SELECTED CHARACTERISTICS Occupied housing units Lacking complete plumbing facilities,SELECTED CHARACTERISTICS Occupied housing units Lacking complete kitchen facilities,SELECTED CHARACTERISTICS Occupied housing units No telephone service available,OCCUPANTS PER ROOM Occupied housing units,OCCUPANTS PER ROOM Occupied housing units 1.00 or less,OCCUPANTS PER ROOM Occupied housing units 1.01 to 1.50,OCCUPANTS PER ROOM Occupied housing units 1.51 or more,VALUE Owner-occupied units,"VALUE Owner-occupied units Less than $50,000","VALUE Owner-occupied units $50,000 to $99,999","VALUE Owner-occupied units $100,000 to $149,999","VALUE Owner-occupied units $150,000 to $199,999","VALUE Owner-occupied units $200,000 to $299,999","VALUE Owner-occupied units $300,000 to $499,999","VALUE Owner-occupied units $500,000 to $999,999","VALUE Owner-occupied units $1,000,000 or more",VALUE Owner-occupied units Median (dollars),MORTGAGE STATUS Owner-occupied units,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,MORTGAGE STATUS Owner-occupied units Housing units without a mortgage,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Less than $500,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $500 to $999,"SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage $3,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Less than $250,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $250 to $399,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $400 to $599,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $600 to $799,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $800 to $999,"SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage $1,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) Less than 20.0 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) 20.0 to 24.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) 25.0 to 29.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) 30.0 to 34.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) 35.0 percent or more,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing units with a mortgage (excluding units where SMOCAPI cannot be computed) Not computed,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) Less than 10.0 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 10.0 to 14.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 15.0 to 19.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 20.0 to 24.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 25.0 to 29.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 30.0 to 34.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) 35.0 percent or more,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI) Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed) Not computed,GROSS RENT Occupied units paying rent,GROSS RENT Occupied units paying rent Less than $500,GROSS RENT Occupied units paying rent $500 to $999,"GROSS RENT Occupied units paying rent $1,000 to $1,499","GROSS RENT Occupied units paying rent $1,500 to $1,999","GROSS RENT Occupied units paying rent $2,000 to $2,499","GROSS RENT Occupied units paying rent $2,500 to $2,999","GROSS RENT Occupied units paying rent $3,000 or more",GROSS RENT Occupied units paying rent Median (dollars),GROSS RENT Occupied units paying rent No rent paid,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed),GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) Less than 15.0 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 15.0 to 19.9 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 20.0 to 24.9 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 25.0 to 29.9 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 30.0 to 34.9 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) 35.0 percent or more,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI) Occupied units paying rent (excluding units where GRAPI cannot be computed) Not computed
0,78610,"13,749",96.6%,3.4%,(X),(X),"13,749",81.4%,0.0%,0.0%,0.2%,2.2%,5.1%,4.8%,6.3%,0.0%,"13,749",25.3%,19.8%,25.5%,10.6%,10.0%,3.1%,2.7%,1.0%,1.2%,0.6%,,"13,749",0.6%,4.0%,6.9%,13.7%,18.7%,16.2%,12.6%,14.0%,13.2%,(X),"13,749",0.6%,5.0%,11.6%,46.8%,29.8%,6.2%,,"13,284",77.8%,22.2%,(X),(X),"13,284",6.3%,36.5%,26.6%,19.6%,7.5%,3.4%,"13,284",1.9%,27.0%,46.2%,24.9%,,"13,284",40.3%,6.1%,53.3%,0.0%,0.0%,0.1%,0.2%,0.0%,0.0%,,"13,284",0.0%,0.3%,0.8%,"13,284",94.9%,3.7%,1.4%,"10,341",2.5%,3.3%,3.1%,7.7%,45.1%,28.7%,9.1%,0.5%,(X),"10,341",72.3%,27.7%,"7,480",0.4%,7.1%,14.9%,32.4%,26.0%,14.0%,5.1%,(X),"2,861",3.3%,8.9%,20.8%,15.9%,22.9%,28.1%,(X),"7,480",40.7%,16.9%,11.7%,10.4%,20.2%,(X),"2,824",47.6%,23.7%,9.9%,3.3%,2.2%,2.0%,11.4%,(X),"2,767",2.8%,11.9%,46.3%,34.4%,4.6%,0.0%,0.0%,(X),(X),"2,767",4.6%,8.8%,26.3%,15.3%,7.8%,37.3%,(X)
3,78612,"4,437",92.8%,7.2%,(X),(X),"4,437",52.1%,0.4%,0.7%,0.4%,0.0%,0.0%,0.0%,46.4%,0.0%,"4,437",4.1%,3.6%,33.8%,24.5%,22.3%,6.8%,3.7%,0.5%,0.4%,0.4%,,"4,437",3.0%,1.9%,3.3%,9.5%,20.8%,21.1%,15.8%,6.8%,17.9%,(X),"4,437",3.0%,4.5%,14.0%,53.3%,20.9%,4.4%,,"4,119",83.7%,16.3%,(X),(X),"4,119",3.6%,21.8%,27.0%,27.3%,12.4%,7.9%,"4,119",1.8%,19.9%,40.9%,37.4%,,"4,119",5.3%,13.4%,78.5%,0.4%,0.0%,1.7%,0.0%,0.0%,0.7%,,"4,119",0.0%,0.9%,4.6%,"4,119",94.5%,4.0%,1.5%,"3,446",4.5%,9.6%,21.0%,17.6%,25.5%,14.0%,6.1%,1.5%,(X),"3,446",61.0%,39.0%,"2,103",0.0%,9.7%,33.7%,34.5%,14.2%,2.8%,5.1%,(X),"1,343",7.5%,10.6%,36.4%,27.7%,13.9%,3.8%,(X),"2,034",38.6%,23.2%,11.8%,6.8%,19.7%,(X),"1,322",48.0%,17.1%,10.1%,1.5%,6.4%,5.8%,11.0%,(X),515,0.0%,24.3%,50.3%,25.4%,0.0%,0.0%,0.0%,(X),(X),515,18.3%,8.2%,14.0%,11.3%,17.7%,30.7%,(X)
6,78613,"28,722",95.9%,4.1%,(X),(X),"28,722",76.9%,1.7%,0.2%,2.0%,2.9%,5.8%,8.5%,1.8%,0.1%,"28,722",9.2%,11.4%,33.7%,27.9%,10.4%,4.3%,1.9%,0.5%,0.3%,0.4%,,"28,722",1.1%,3.0%,6.8%,11.9%,13.8%,16.3%,15.3%,12.9%,19.0%,(X),"28,722",1.1%,8.8%,11.2%,40.1%,31.9%,6.9%,,"27,558",71.5%,28.5%,(X),(X),"27,558",4.3%,35.4%,24.3%,24.2%,9.0%,2.7%,"27,558",2.0%,28.5%,48.4%,21.2%,,"27,558",54.5%,1.9%,43.1%,0.0%,0.0%,0.0%,0.1%,0.1%,0.2%,,"27,558",0.1%,0.7%,1.3%,"27,558",97.9%,1.5%,0.6%,"19,693",1.2%,0.6%,2.6%,7.3%,33.5%,42.9%,11.0%,0.9%,(X),"19,693",74.2%,25.8%,"14,615",0.0%,1.2%,12.4%,28.6%,24.2%,18.2%,15.4%,(X),"5,078",1.7%,6.5%,20.0%,20.6%,21.1%,30.1%,(X),"14,599",49.5%,19.8%,10.6%,5.8%,14.4%,(X),"5,023",51.3%,21.5%,7.8%,5.1%,5.2%,1.5%,7.6%,(X),"7,744",1.4%,8.1%,44.7%,30.5%,13.0%,1.1%,1.2%,(X),(X),"7,709",11.8%,15.1%,14.9%,15.2%,11.2%,31.8%,(X)
9,78615,415,90.6%,9.4%,(X),(X),415,70.8%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,27.5%,0.0%,415,1.4%,3.6%,33.7%,16.1%,12.3%,8.4%,7.7%,3.6%,3.4%,9.6%,,415,1.4%,0.5%,0.2%,11.8%,18.1%,21.7%,16.4%,21.4%,8.4%,(X),415,1.4%,1.9%,10.8%,61.4%,20.7%,3.6%,,376,78.7%,21.3%,(X),(X),376,0.3%,21.5%,23.4%,31.4%,10.1%,13.3%,376,1.3%,14.9%,36.4%,47.3%,,376,0.0%,25.3%,71.3%,0.5%,0.0%,0.0%,0.0%,2.9%,0.0%,,376,0.0%,0.0%,2.1%,376,87.8%,12.2%,0.0%,296,0.7%,17.6%,14.5%,14.9%,17.9%,18.9%,13.2%,2.4%,(X),296,53.0%,47.0%,157,0.0%,1.3%,46.5%,19.7%,16.6%,15.9%,0.0%,(X),139,12.2%,26.6%,17.3%,14.4%,20.9%,8.6%,(X),156,65.4%,5.8%,3.8%,17.3%,7.7%,(X),139,43.2%,10.1%,21.6%,1.4%,1.4%,2.2%,20.1%,(X),78,2.6%,35.9%,48.7%,12.8%,0.0%,0.0%,0.0%,(X),(X),76,1.3%,17.1%,22.4%,13.2%,23.7%,22.4%,(X)
